id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Winter Sonata,Aria Wren,classical,melancholic,0.20,58,0.25,0.15,0.95
12,Crown Up,Big Mecca,hip hop,triumphant,0.80,95,0.75,0.85,0.08
13,Old Porch Letters,Willow Creek,folk,nostalgic,0.33,85,0.55,0.40,0.90
14,Iron Verdict,Grave Circuit,metal,aggressive,0.97,170,0.30,0.35,0.03
15,Velvet Whisper,Marlo Reyes,R&B,romantic,0.55,88,0.68,0.70,0.30
16,Dirt Road Sunrise,Hazel County,country,hopeful,0.62,100,0.72,0.55,0.60
17,Pulse Ignition,DJ Kinetic,EDM,euphoric,0.95,128,0.90,0.92,0.02
18,Island Sway,Kalo Roots,reggae,playful,0.58,90,0.80,0.75,0.45
19,Rainy Alley Blues,Delta Mo,blues,somber,0.30,65,0.35,0.30,0.75
20,Hidden Frequencies,Vex Silo,techno,mysterious,0.78,130,0.40,0.80,0.05
